-1	TOTAL_DOC_COUNT_N		Parameter		2457
000000	事件	http://collab.open-opinion.org/resource/Feature/000000	Word	4949	665
000001	放送	http://collab.open-opinion.org/resource/Feature/000001	Word	2899	261
000002	労働	http://collab.open-opinion.org/resource/Feature/000002	Word	2848	318
000003	情報	http://collab.open-opinion.org/resource/Feature/000003	Word	2507	545
000004	教育	http://collab.open-opinion.org/resource/Feature/000004	Word	2426	422
000005	環境	http://collab.open-opinion.org/resource/Feature/000005	Word	2358	439
000006	調査	http://collab.open-opinion.org/resource/Feature/000006	Word	2289	476
000007	発生	http://collab.open-opinion.org/resource/Feature/000007	Word	2213	626
000008	行為	http://collab.open-opinion.org/resource/Feature/000008	Word	2082	534
000009	事故	http://collab.open-opinion.org/resource/Feature/000009	Word	1950	311
000010	関係	http://collab.open-opinion.org/resource/Feature/000010	Word	1935	660
000011	犯罪	http://collab.open-opinion.org/resource/Feature/000011	Word	1910	427
000012	報道	http://collab.open-opinion.org/resource/Feature/000012	Word	1897	370
000013	研究	http://collab.open-opinion.org/resource/Feature/000013	Word	1894	475
000014	販売	http://collab.open-opinion.org/resource/Feature/000014	Word	1871	333
000015	東京	http://collab.open-opinion.org/resource/Feature/000015	Word	1855	512
000016	保護	http://collab.open-opinion.org/resource/Feature/000016	Word	1846	427
000017	活動	http://collab.open-opinion.org/resource/Feature/000017	Word	1836	588
000018	必要	http://collab.open-opinion.org/resource/Feature/000018	Word	1819	627
000019	被害	http://collab.open-opinion.org/resource/Feature/000019	Word	1788	447
000020	経済	http://collab.open-opinion.org/resource/Feature/000020	Word	1774	483
000021	行われる	http://collab.open-opinion.org/resource/Feature/000021	Word	1768	667
000022	学校	http://collab.open-opinion.org/resource/Feature/000022	Word	1749	329
000023	可能	http://collab.open-opinion.org/resource/Feature/000023	Word	1711	605
000024	生活	http://collab.open-opinion.org/resource/Feature/000024	Word	1695	495
000025	女性	http://collab.open-opinion.org/resource/Feature/000025	Word	1690	311
000026	平成	http://collab.open-opinion.org/resource/Feature/000026	Word	1688	405
000027	規制	http://collab.open-opinion.org/resource/Feature/000027	Word	1687	342
000028	世界	http://collab.open-opinion.org/resource/Feature/000028	Word	1672	533
000029	アメリカ	http://collab.open-opinion.org/resource/Feature/000029	Word	1661	450
000030	使用	http://collab.open-opinion.org/resource/Feature/000030	Word	1659	534
000031	結果	http://collab.open-opinion.org/resource/Feature/000031	Word	1628	605
000032	国際	http://collab.open-opinion.org/resource/Feature/000032	Word	1626	391
000033	地域	http://collab.open-opinion.org/resource/Feature/000033	Word	1615	490
000034	中国	http://collab.open-opinion.org/resource/Feature/000034	Word	1606	243
000035	委員	http://collab.open-opinion.org/resource/Feature/000035	Word	1602	404
000036	対策	http://collab.open-opinion.org/resource/Feature/000036	Word	1582	406
000037	医療	http://collab.open-opinion.org/resource/Feature/000037	Word	1573	229
000038	企業	http://collab.open-opinion.org/resource/Feature/000038	Word	1568	393
000039	対象	http://collab.open-opinion.org/resource/Feature/000039	Word	1562	550
000040	都市	http://collab.open-opinion.org/resource/Feature/000040	Word	1551	252
000041	呼ぶ	http://collab.open-opinion.org/resource/Feature/000041	Word	1542	646
000042	現在	http://collab.open-opinion.org/resource/Feature/000042	Word	1496	651
000043	利用	http://collab.open-opinion.org/resource/Feature/000043	Word	1481	493
000044	言う	http://collab.open-opinion.org/resource/Feature/000044	Word	1424	607
000045	政府	http://collab.open-opinion.org/resource/Feature/000045	Word	1407	380
000046	表現	http://collab.open-opinion.org/resource/Feature/000046	Word	1401	350
000047	影響	http://collab.open-opinion.org/resource/Feature/000047	Word	1399	539
000048	持つ	http://collab.open-opinion.org/resource/Feature/000048	Word	1389	616
000049	一般	http://collab.open-opinion.org/resource/Feature/000049	Word	1386	630
000050	番組	http://collab.open-opinion.org/resource/Feature/000050	Word	1382	181
000051	大学	http://collab.open-opinion.org/resource/Feature/000051	Word	1376	295
000052	児童	http://collab.open-opinion.org/resource/Feature/000052	Word	1374	218
000053	含む	http://collab.open-opinion.org/resource/Feature/000053	Word	1371	556
000054	差別	http://collab.open-opinion.org/resource/Feature/000054	Word	1361	267
000055	事業	http://collab.open-opinion.org/resource/Feature/000055	Word	1352	348
000056	多く	http://collab.open-opinion.org/resource/Feature/000056	Word	1351	595
000057	安全	http://collab.open-opinion.org/resource/Feature/000057	Word	1336	320
000058	科学	http://collab.open-opinion.org/resource/Feature/000058	Word	1318	295
000059	機関	http://collab.open-opinion.org/resource/Feature/000059	Word	1303	469
000060	自殺	http://collab.open-opinion.org/resource/Feature/000060	Word	1274	184
000061	用いる	http://collab.open-opinion.org/resource/Feature/000061	Word	1271	479
000062	委員会	http://collab.open-opinion.org/resource/Feature/000062	Word	1269	367
000063	食品	http://collab.open-opinion.org/resource/Feature/000063	Word	1265	145
000064	団体	http://collab.open-opinion.org/resource/Feature/000064	Word	1258	410
000065	使う	http://collab.open-opinion.org/resource/Feature/000065	Word	1256	507
000066	報告	http://collab.open-opinion.org/resource/Feature/000066	Word	1253	377
000067	考える	http://collab.open-opinion.org/resource/Feature/000067	Word	1252	513
000068	新聞	http://collab.open-opinion.org/resource/Feature/000068	Word	1252	290
000069	韓国	http://collab.open-opinion.org/resource/Feature/000069	Word	1249	186
000070	制度	http://collab.open-opinion.org/resource/Feature/000070	Word	1244	394
000071	内容	http://collab.open-opinion.org/resource/Feature/000071	Word	1218	454
000072	認める	http://collab.open-opinion.org/resource/Feature/000072	Word	1205	465
000073	批判	http://collab.open-opinion.org/resource/Feature/000073	Word	1185	354
000074	死亡	http://collab.open-opinion.org/resource/Feature/000074	Word	1179	263
000075	障害	http://collab.open-opinion.org/resource/Feature/000075	Word	1178	248
000076	一部	http://collab.open-opinion.org/resource/Feature/000076	Word	1174	533
000077	原因	http://collab.open-opinion.org/resource/Feature/000077	Word	1172	433
000078	目的	http://collab.open-opinion.org/resource/Feature/000078	Word	1134	528
000079	支援	http://collab.open-opinion.org/resource/Feature/000079	Word	1125	345
000080	技術	http://collab.open-opinion.org/resource/Feature/000080	Word	1123	331
000081	指摘	http://collab.open-opinion.org/resource/Feature/000081	Word	1097	423
000082	主張	http://collab.open-opinion.org/resource/Feature/000082	Word	1096	348
000083	発表	http://collab.open-opinion.org/resource/Feature/000083	Word	1095	409
000084	著作	http://collab.open-opinion.org/resource/Feature/000084	Word	1094	139
000085	禁止	http://collab.open-opinion.org/resource/Feature/000085	Word	1092	332
000086	状況	http://collab.open-opinion.org/resource/Feature/000086	Word	1083	479
000087	虐待	http://collab.open-opinion.org/resource/Feature/000087	Word	1082	113
000088	法律	http://collab.open-opinion.org/resource/Feature/000088	Word	1082	358
000089	よる	http://collab.open-opinion.org/resource/Feature/000089	Word	1080	550
000090	特定	http://collab.open-opinion.org/resource/Feature/000090	Word	1073	418
000091	高い	http://collab.open-opinion.org/resource/Feature/000091	Word	1070	443
000092	言葉	http://collab.open-opinion.org/resource/Feature/000092	Word	1069	351
000093	基準	http://collab.open-opinion.org/resource/Feature/000093	Word	1064	304
000094	管理	http://collab.open-opinion.org/resource/Feature/000094	Word	1060	359
000095	いじめ	http://collab.open-opinion.org/resource/Feature/000095	Word	1056	137
000096	理由	http://collab.open-opinion.org/resource/Feature/000096	Word	1054	470
000097	開発	http://collab.open-opinion.org/resource/Feature/000097	Word	1048	297
000098	商法	http://collab.open-opinion.org/resource/Feature/000098	Word	1033	147
000099	当時	http://collab.open-opinion.org/resource/Feature/000099	Word	1033	450
000100	求める	http://collab.open-opinion.org/resource/Feature/000100	Word	1031	479
000101	出版	http://collab.open-opinion.org/resource/Feature/000101	Word	1030	314
000102	人間	http://collab.open-opinion.org/resource/Feature/000102	Word	1017	386
000103	子供	http://collab.open-opinion.org/resource/Feature/000103	Word	1012	248
000104	記事	http://collab.open-opinion.org/resource/Feature/000104	Word	1012	262
000105	主義	http://collab.open-opinion.org/resource/Feature/000105	Word	1007	293
